provider,website,fund_name,region,country,location,organisation_type,provision,investment_term,loans_rate,min_size,max_size,focus,last_updated,status
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/07ReducingPoverty.htm,Reducing Poverty,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects that will achieve one or more of the following:

    more Londoners with improved economic circumstances 
    fewer Londoners experiencing food poverty 
    more people accessing Loans and legal services ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/08ResettlementAndRehabilitationOfOffenders.htm,Resettlement & Rehabilitation of Offenders,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund projects that will achieve:

    more ex-offenders successfully and sustainably resettled in the community and re-offending rates reduced. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/09StrengtheningLondonsVoluntarySector.htm,Strengthening London's Voluntary Sector,United Kingdom,England,London,Non-profit,Grant,,,,50000,"We want to fund work which will achieve one or more of the following:

    more organisations with the skills to improve their volunteer management
    more organisations with improved capabilities in monitoring, evaluation and impact reporting 
    more organisations with improved skills in financial management 
    more equalities organisations with enhanced voice, advocacy and representation skills. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/10EcoAudits.htm,Eco-Audits,United Kingdom,England,London,Non-profit,Grant,,,,50000,"The Trust will cover the costs of an eco-audit, training or consultancy provided by our approved consultants.  This is likely to take up to about five days’ work, and will include:

    visiting your offices, and discussions with chief executive, staff and trustees
    review of your energy use, waste, travel patterns and purchasing practice
    review of policies and how decisions are made
    a report and action plan
    follow-up visit after a year
    report on the changes and savings achieved.

You do not need to be in receipt of a City Bridge Trust grant to request a free eco-audit. ",01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/,London Youth Quality Marks Award,United Kingdom,England,London,Non-profit,Grant,,,,50000, ,01 December 2014,Open
City Bridge Trust,http://www.citybridgetrust.org.uk/CBT/Grants/index/12Artsapprenticeships.htm,Arts Apprenticeships,United Kingdom,England,London,Non-profit,Grant,,,,50000,"A single organisation can apply for and hold Trust funding for up to a maximum of two apprentices at any one time. (An organisation which holds other funding from the Trust, or intends to apply to one of our other programmes, is able to do so at any time in addition to apprenticeship funding under this programme.) ",01 December 2014,Open
The Eleos Foundation Trust,http://www.theeleosfoundation.com/,Foundation Trust,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit","Loans, Equity",,,,,"social entrepreneurs that effectively implement high impact, early stage, pioneering market based solutions in the fight to eradicate extreme poverty ",01 December 2014,Open
Esmee Fairburn,http://esmeefairbairn.org.uk/what-we-fund/finance-fund,Finance Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Equity",4 - 7,,,,"Our Finance Fund makes loans and other investments into charities and social enterprises in our four grant making sectors; the arts, education and learning, the environment and social change.  At any one time, we have 35 - 40 investment commitments. At the end of 2012, we had over £20 million committed as offers to invest in charities and social enterprises, of which £11.9 million had drawn down. Historically, we have offered over £23 million of facilities to charities, social enterprises and the intermediaries that support them. ",01 December 2014,Open
Esmee Fairburn,http://esmeefairbairn.org.uk/what-we-fund/sectors/arts,Arts Strand,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,," Our arts interests are:

    Sustaining the viability of the arts sector through multi-year funding, which can be for core costs, including salaries, particularly for key sector/regional organisations.
    Smaller grants to support organisations or projects which are testing out new ways of working.
    Providing funds to specialist infrastructure organisations to pass on to organisations which provide a strong match with our interests e.g. the Museums Association's Esmée Fairbairn Collections Fund.
    The development of emerging artists, emerging practice and new and more sustainable business models, sometimes through funding organisations to coordinate and channel our funding.
    Arts organisations working with harder to reach groups and/or addressing difficult issues, particularly those that are developing new practice or pioneering new ways of engaging with audiences and supporting their local community.
 ",01 December 2014,Open
Esmee Fairburn,http://esmeefairbairn.org.uk/what-we-fund/sectors/education,Education & Learning,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,," Our education and learning interests are:

    Strengthening the sustainability of organisations in the sector through core funding and longer-term grants, which could be for major step-change.

    Supporting new and emerging social entrepreneurs and charities testing new ideas and models.

    Programmes of work or partnerships with the potential to have an impact nationally and/or create whole system change.

    ‘Local solutions to local problems’ – supporting ‘on the ground’ initiatives that safeguard the interests and address the learning needs of their communities.

    Supporting organisations that hold education decision-makers to account through practice-based evidence and effective influencing.

While the Foundation responds to the needs of the sector and so supports a wide range of work, it particularly focuses on projects developing unorthodox approaches, even if such approaches involve risk. Most of the organisations we fund have solid evidence of impact and an articulated long-term, sustainable vision for their programmes.  ",01 December 2014,Open
Esmee Fairburn,http://esmeefairbairn.org.uk/what-we-fund/sectors/environment,Environment,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,," Our environment interests are:

    Activities that connect individuals and communities, particularly those in more urban areas, with the environment or environmental issues, and that encourage people to become involved and to take practical action.
    Work that takes place at a landscape scale, benefiting multiple species and habitats and encouraging closer collaboration between: environment organisations; environment organisations and communities; environment organisations and those outside the environment sector but with potential to influence decision making, policy and practice.
    Conservation of the marine environment, including through: collaborative work with coastal communities to influence practice at a local level; strengthening wider interest in protecting the marine environment through awareness raising and education activities; strategic advocacy work to influence policy and practice.
    Activities that develop and nurture talent and leadership within the environment sector.
    Projects that can blend environment with our other areas of interest - for instance an environment message delivered through an arts medium; creative projects that connect people with their environment and all the value that it can bring.
    Work that encourages the development of an entrepreneurial spirit within the environment sector.
 ",01 December 2014,Open
Esmee Fairburn,http://esmeefairbairn.org.uk/what-we-fund/sectors/social-change,Social Change,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,," Our approach to funding work in this area is flexible and needs based and we do not make grants according to a priority list of topics or beneficiary groups.  We try to be responsive and base our decisions on whether the proposed work does some of the following:

    Tackles institutional barriers to genuine participation in society
    Redresses unfairness, injustice and inequality
    Explores ways to change 'the system' (e.g. to do things better, to be more just, to reach more people, to save money)
    Deals with problems in all their complexity rather than just focusing on one element
    Confronts causes not symptoms.

We also favour organisations/ideas that:

    Are creative in how they achieve results, as when activities have multiple benefits or create virtuous circles
    Deliver new solutions to long-standing, and seemingly intractable, problems. ",01 December 2014,Open
Esmee Fairburn,http://esmeefairbairn.org.uk/what-we-fund/sectors/food,Food,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,," We will support work that:

• delivers high quality, innovative local food projects, particularly those that can become financially sustainable and are replicable.

• establishes closer links between NGOs, community groups, producers, retailers and industry in order to create more coherent food sector.

• improves people’s understanding of the place that food plays in our lives and shows the role that access to good quality food can have on wellbeing.

• leads to the prioritisation of sustainable food production and consumption in local and national policy, practice and decision-making.

• increases demand for better quality food from sustainable sources, for example, through changes to public procurement.

Applications may respond to more than one of the above. ",01 December 2014,Open
Esmee Fairburn,http://esmeefairbairn.org.uk/what-we-fund/sectors/merger-fund,Merger Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,," Applications requesting funding for the following types of pre-merger feasibility work will be considered including:

    consultation with staff/beneficiaries/members/other stakeholders
    facilitation of discussions with the potential merger partner/s
    governance, planning, financial, legal, HR or communications advic
    formation of long-term, strategic collaborations with other organisations to enhance benficiaries' outcomes. ",01 December 2014,Open
Friends Provident Foundation,http://www.friendsprovidentfoundation.org/programme-overview/,Building Resilient Economies,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Grant, Loans, Equity",,,,,"We are particularly interested in supporting
the development of economic and financial
systems that are designed to include those
who are most vulnerable to market failure. ",01 December 2014,Open
Hoare & Co,http://www.hoaresbank.co.uk/golden-bottle-trust,Golden Bottle Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"The Golden Bottle Trust (GBT) was established by the Partners of the bank in 1985 to donate money to a wide range of causes including:

    Arts
    Community
    Education
    Wildlife
    Health
    The Developing World

Each year, the Partners give some of the bank's profits to the Golden Bottle Trust, both to support charities in that year and to create a reserve to support future giving. The trustees have agreed that up to 25% of the fund should be made in social investments. ",01 December 2014,Open
Joseph Rowntree Charitable Trust,http://www.jrct.org.uk/funding-priorities,Funding Priority (see comment),United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,2000,150000,"Will only fund work that is legally charitable that falls into their main programme areas (peace, racial justice, power and responsibility and Quaker concerns); social investments will be made into organisations with size and scale and measurable social returns ",01 December 2014,Open
Lankelly Chase,http://www.lankellychase.org.uk/social_investment,Social Investment Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,"Loans, Equity",3 - 10,,50000,500000,"The Foundation wants to :

    To identify organisations which are focused on severe and multiple disadvantage and to offer investment to enable them to increase their reach, effectiveness and sustainability
    To work with other Foundations and intermediary bodies to create and invest in new social finance vehicles, such as social impact bonds
    To work in collaboration with other Foundations to ensure that the social finance infrastructure required to support the sector is properly developed
    To lead the debate on the role social investment should play in reaching those in the greatest need.
    To compliment the Foundations grant programme and special initiatives
 ",01 December 2014,Open
Lankelly Chase,http://www.lankellychase.org.uk/accessing_funding/funding_opportunities,Grant Programme,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"LankellyChase Foundation’s mission is to bring about change to improve the lives of people facing severe and multiple disadvantage. By this we mean people who are experiencing a combination of severe social harms such as homelessness, substance misuse, mental illness, extreme poverty, and violence and abuse.

We are not interested in sticking plaster solutions, even if they make people’s lives better in the short term, but in changing the fundamentals. ",01 December 2014,Open
Nominet Trust,http://www.nominettrust.org.uk/,Grant Programme,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,,,"""Nominet Trust is spearheading the ways in which the internet can be used to stimulate positive social action at a grass-roots level.” Key Focus is Internet-focused social enterprises (UK-based) Projects must demonstrate how the internet can be used to improve the lives of individuals and communities. The trust’s existing investments have ranged from £2,500 over six months to £250,000 over two years. Applications for investments of over £100,000 are more likely to be successful if match-funding has been secured from other organisations",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.tellusmater.org.uk/,The Ashden Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,, ,01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.gatsby.org.uk/,The Gatsby Charitable Foundation,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,, ,01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.kklf.org.uk/,The Kay Kendall Leukaemia Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,, ,01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.linburytrust.org.uk/,The Linbury Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,, ,01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.truecolourstrust.org.uk/,The True Colours trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,, ,01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.woodwardcharitabletrust.org.uk/,The Woodward Charitable Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,, ,01 December 2014,Open
Sainsbury Family Charitable Trusts,http://indigotrust.org.uk/,The Indigo Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,, ,01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-alan-and-babette-sainsbury-charitable-fund/,The Alan & Babetta Sainsbury Charitable Fund,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"This trust concentrates its resources on a small number of programmes, including:

    arts and education projects which help young people to achieve their potential, particularly within Southwark, from where proposals are particularly encouraged
    support for UK charities which defend civil liberties and human rights
    projects in the developing world, especially Africa, which maximise educational and employment opportunities for young people
    areas of scientific and medical research of particular interest to the trustees, especially multiple sclerosis and diabetes among young people
 ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-glass-house-trust/,The Glass House Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"Grants are made to projects initiated by the trustees, including projects initiated jointly by the trustees and the beneficiary, and to some other projects which trustees themselves seek out. Trustees concentrate on supporting a small number of projects over the long term, usually under the categories of the built environment, child development, social policy and art. ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-trusts/,The Headley Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"Trustees are prepared to consider unsolicited proposals so long as they closely match one of the following areas of interest:                                                    Arts & Heritage UK
Cathedrals & Major Churches
Parish Churches
Arts & Heritage Overseas
Developing Countries
Education
Health & Social Welfare ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-jerusalem-trust/,The Jerusalem Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"The objects of the Trust are:

    to advance the Christian religion and to promote Christian organisations and the charitable purposes and institutions they support
    to advance Christian education and learning
 ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-jj-charitable-trust/,The JJ Charitable Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"JJ’s main areas of interest are:

    Literacy – to help improve the effectiveness of literacy teaching in primary and secondary education for children with learning difficulties, including Dyslexia, and for ex-offenders or those at risk of offending.
    Social and cultural change towards more sustainable lifestyles – creative approaches that visualise a sustainable future in positive ways, innovative enterprise and economic models that support sustainable lifestyles and the role of the media in communicating about sustainability.
    Environment projects overseas, especially community-based agriculture initiatives, which aim to help people help themselves in an environmentally sustainable way
 ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-mark-leonard-trust/,The Mark Leonard Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"The trustees do not accept unsolicited proposals. Their grant-making focuses on a small portfolio of charities which receive sustained support over an extended period, working in two broad areas:

    Sustainable agriculture and food; tackling climate change, energy efficiency and renewable energy
    Youth work that supports the rehabilitation of young people involved in anti-social or criminal activities, and helps remove the barriers to social inclusion
 ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-monument-trust/,The Monument Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"Trustees make grants in the following areas:

    Health and Community Care – substantial HIV/AIDS projects in the UK and Africa, social exclusion, the sexual health of young people, and hospices
    Arts and Heritage – arts, architectural and environmental projects of national or regional importance, including galleries, museums, and historic houses and gardens. Proposals are particularly welcome for cultural projects which will make a major contribution to improving economically depressed areas.
    Criminal justice – including prisoners’ resettlement and alternatives to custody – and homelessness
 ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-staples-trust/,The Staples Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"Trustees initiate most of the proposals to be considered and tend not to accept unsolicited applications. They make grants under the following headings:

    Gender issues – domestic violence, women’s rights and gender studies
    Overseas projects which support the rights of indigenous people
    Charities which defend human rights and civil liberties
    The Frankopan fund – small grants to
    exceptionally talented students from Croatia to further their studies. ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-tedworth-charitable-trust/,The Tedworth Charitable trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"Tedworth does not accept unsolicited proposals, as its grant-making tends to be concentrated on projects initiated by the trustees, mainly in the areas of:

    Parenting, family welfare and child development.
    Arts and the environment, including sustainable living, organic gardening and rural arts. ",01 December 2014,Open
Sainsbury Family Charitable Trusts,http://www.sfct.org.uk/the-three-guineas-trust/,The Three Guineas Trust,United Kingdom,"England, Scotland, Wales, Ireland",,Non-profit,Grant,,,,,"
    Three Guineas funds projects in the field of autism and Asperger syndrome. Many grants result from the trustees’ own research and contacts with experts working in this field. Wherever possible, projects are preferred which include people with ASD in decision-making.
    The trustees do not make grants directly to individuals, or fund pure research
 ",01 December 2014,Open
ClearlySo,http://www.clearlyso.com/about.html,Intermediary,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Support,,,,,ClearlySo helps social entrepreneurs raise capital. Our goal is to grow the social investment marketplace and help build a more social economy. ,01 December 2014,Open
Fair Finance,https://www.fairfinance.org.uk/business-loans,Business Loans,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",3,,2000,20000,Fair Finance is a social business working with the financially excluded in London. It offers affordable financial products to ensure that vulnerable and disadvantaged people can access financial services without needing to rely on predatory lenders. ,01 December 2014,Open
Franchising Works,http://www.franchisingworks.org/,Intermediary,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Support,,,,,Franchising Works is a social enterprise providing support for those attempting to develop a franchise. This creates self- employment opportunities for the unemployed and assists in creating successful businesses. ,01 December 2014,Open
GoJaspa,http://gojaspa.com/,Intermediary,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Support,,,2000000,,GoJaspa provides access to finance and support for businesses that are working to create positive social and environmental change at scale. GoJaspa works with organisations seeking to raise £2million+ and is particularly active in brokering finance packages for larger scale infrastructure projects. ,01 December 2014,Open
Pymwymic,http://www.pymwymic.com/,Intermediary,"United Kingdom, Europe ex UK, US, Global",,,For-profit,Support,,,,,"Put Your Money Where Your Mouth Is Community (Pymwymic) is based in the Netherlands, but is active across the globe. Any ‘for profit business’ that is also demonstrating a positive social impact has the potential to be supported by this community of families, philanthropists and angel investors which offers events, advice and capital raising opportunities. As a peer platform, we hunt for great companies and champion about 10 annually: we share with each other not only deals, but our ideas and efforts to create a more balanced economy. The cost of a core team in Amsterdam is shared through membership fees.",01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/young-people/,Young People,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,,"We are working with local authorities, children’s charities and central government to explore new approaches, including the application of Social Impact Bonds, to children in care, adolescents at risk and complex families. - See more at: http://www.socialfinance.org.uk/impact/young-people/#sthash.zhGqGXs4.dpuf Use of Social Impact Bonds",01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/health-and-social-care/,Health & Social Care,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,, ,01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/criminal-justice/,Criminal Justice,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,,The rehabilitation of offenders is a cornerstone of the government’s criminal justice policy. Fewer offenders will commit less crime requiring fewer prisons costing less money. With 60% of short sentenced prisoners re-offending within a year of release there is a real opportunity to revolutionise the rehabilitation of prisoners. The challenge is that reducing re-offending is a long-term commitment requiring time and investment. - See more at: http://www.socialfinance.org.uk/impact/criminal-justice/#sthash.ap9Y9jIl.dpuf ,01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/housing/,Housing,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,,"Housing provides shelter and a foundation on which to tackle other social issues. Social Finance works with local authorities, housing associations and registered providers to increase accommodation for the homeless, rough sleepers, the elderly and low-modest incomes families. - See more at: http://www.socialfinance.org.uk/impact/housing/#sthash.2pZIHgHQ.dpuf ",01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/unemployment/,Unemployment,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,,"Social Finance is working with vulnerable youths, disabled individuals and those with long-term health conditions who are unemployed or likely to struggle to find work in the future. - See more at: http://www.socialfinance.org.uk/impact/unemployment/#sthash.kRQpfVJU.dpuf ",01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/social-enterprise/,Social Enterprise,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,,"The Cabinet Office’s Investment and Contract Readiness Fund, as well as other funding sources, have led to a renewed effort to work with the most engaged and ambitious charities and social enterprises. - See more at: http://www.socialfinance.org.uk/impact/social-enterprise/#sthash.W0mlxKiF.dpuf ",01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/financial-inclusion/,Financial Inclusion,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,,"Many people on low incomes are unable, reluctant or struggle to access appropriate ‘mainstream’ financial services including banking, savings, affordable credit and insurance by low-income customers. It is a key component of broader social exclusion. - See more at: http://www.socialfinance.org.uk/impact/financial-inclusion/#sthash.3ab2WFzm.dpuf ",01 December 2014,Open
Social Finance,http://www.socialfinance.org.uk/impact/international-development/,International Development,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Loans, Support",,,,,"Development Impact Bonds seek to improve the efficiency and effectiveness of development programmes. As with SIBs, investors provide external financing for interventions and will only receive a return if pre-agreed outcomes are achieved. Funds to remunerate investors come from donors, the budget of the host country, or a combination of the two and are commensurate with the level of success. This approach is intended to encourage innovation and adaptation needed to deliver successful outcomes. - See more at: http://www.socialfinance.org.uk/impact/international-development/#sthash.NSqc6n7S.dpuf ",01 December 2014,Open
Stepping Out,http://stepping-out.biz/,Intermediary,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Support,,,,,"Our mission is to identify, create and grow enterprises from the public sector - mainly English Councils and the NHS. We have a track record of supporting public services to spin out and to succeed afterwards. Our offer is to provide expert, professional and supportive input at every step along the way.  We practice what we preach too - through the Stepping Out Foundation we channel part of our profit directly back to early stage social entrepreneurs.  Helping social enterprises that wish to ""spin out"" public services. ",01 December 2014,Open
The Shaftsbury Partnership,http://www.shaftesburypartnership.org/what-we-do-0,Intermediary,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Support,,,,,"The Shaftesbury Partnership is a social business whose mission is to create and inspire trailblazing social reforms that empower communities by tackling disadvantage and generating opportunity. We do this through our values: bold ideas, excellent people, exemplary execution, and rapid scaling. The sectors that we work in are defined by entrenched disadvantage that is caused by market failures, systemic flaws and a prevalent risk aversion that prevents innovation or widespread adoption. In order to tackle these market failures our operational models bring together stakeholders from every sector, linking delivery rooted in local communities with national partnerships that ensure effective scaling.  We are a social business intermediary and incubator, bringing together transformative ideas and entrepreneurial, high calibre individuals to create new social enterprises. These are designed using rigorous business analysis and sound financial models to ensure the highest levels of execution and maximum scale. We believe that scaling is essential in achieving the greatest possible social impact, and we are experts on social franchising and replication. The Shaftesbury Partnership has launched a number of social enterprises in areas including employment, healthcare, reducing reoffending, faith communities and multiple and complex needs. We currently have a number of social ventures which are being scaled up or piloted, including FranchisingWorks, Nurse First, Social Business Partnership, and Retirement Transitions Initiative. We have also partnered up with UnLtd and ClearlySo to deliver the next three years of Big Venture Challenge. In addition, we have a pipeline of exciting new ventures and we are always very keen to explore new partnerships and opportunities.",01 December 2014,Open
Ashden,http://www.ashden.org/ashden_awards,Awards,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,,,"Ashden works to “promote local sustainable energy and a shift to a low carbon economy bringing green jobs, energy security, lower fuel bills and reduced fuel poverty”. The Ashden Awards have been developed in order to support and accelerate the work of organisations in these areas. Currently Ashden have worked with over 130 organisations ranging from those providing solar lamps in India to organisations developing wood fuel in the Midlands. ",01 December 2014,Open
Ashoka,https://www.ashoka.org/,Venture Machanism,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit",Grant,,,,,"Ashoka “strives to shape a global, entrepreneurial, competitive citizen sector: one that allows social entrepreneurs to thrive and enables the world’s citizens to think and act as change-makers”. Ashoka supports social enterprises via their Venture mechanism. Once a social enterprise is found via Venture, the social entrepreneurs are made Ashoka Fellows and receive a living stipend for an average of three years. This allows the entrepreneurs to fully focus on building their institutions. ",01 December 2014,Open
Ashoka,http://www.changemakers.com/,Changemakers,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit",Grant,,,,,Ashoka Changemakers® support the development of social innovations. They have hosted over 50 competitions to assist in the identification and support of innovative ideas to work for social change. ,01 December 2014,Open
Deloitte,http://www2.deloitte.com/uk/en/pages/about-deloitte-uk/topics/social-innovation-pioneer-programme.html,Social Innovation Pioneers Fund,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit","Grant, Support",,,,,"The programme supports socially innovative businesses, providing them with a package of support to help them grow to scale and become investment-ready. In total we are investing over £1m a year in this ground breaking programme. ",01 December 2014,Open
Echoing Green,http://www.echoinggreen.org/fellowship/apply,Fellowship,"Global ex UK, Europe & US",,,"For-profit, non-profit",Grant,,,,,"hoing Green’s Fellowship Programs will offer more than $4.6 million in seed-stage funding and support this year to emerging leaders working to bring about positive social change. From thousands of applicants, only about 1 percent are ultimately awarded a Fellowship.

 During their first two years, Fellows receive up to $90,000, participate in leadership development gatherings, and will access the powerful network of Echoing Green Fellows, partners, and friends. Echoing Green’s 2014 Barclays Brain Trust Series, sponsored in part by Barclays, is a program of roundtable and mentorship opportunities for Fellows with leading professionals working in marketing, fundraising, business development, and technology. We continue to support our Fellow community long after their initial funding period with ongoing programs and opportunities at critical inflection points in their organizations or careers",01 December 2014,Open
Santander,http://www.santanderseda.co.uk/About%20the%20Awards,SEDA,United Kingdom,"England, Scotland, Wales, Ireland",,"For-profit, non-profit",Grant,,,5000,10000,"SEDA supports social enterprises and charities working for the direct benefit of their community via one or more of the following critical social outcomes:

Improving Social Inclusion - For example:
Working with rurally isolated areas to make services and goods more readily available
Combating loneliness amongst our elderly population
Helping to integrate marginalised groups into the community
Working with deprived neighbourhoods to regenerate their community

Supporting Disadvantaged People through Skills, Training or Employment - For example:
Activity which provides people with formal or informal training, skills development, work experience and/or direct employment
Creating employment opportunities for people with learning difficulties

Creating a Greener Environment - For example:
Provision of green education to schools and colleges
Neighbourhood recycling programmes
Carbon footprint reduction initiatives We understand that it takes businesses of all shapes and sizes to make a community work so the Development Awards are focused on two types of enterprises; Social Ventures and Enterprising Charities. 

Enterprising Charities - Growth Award offers a prize of up to £10,000 to support UK registered charities and community groups looking to increase trading

Social Ventures - Catalyst Award offers a prize of £5,000 to social enterprises looking to grow their business
",01 December 2014,Open
Schwab,http://www.schwabfound.org/,Foundation for Social Entreprenaurship,"United Kingdom, Europe ex UK, US, Global",,,"For-profit, non-profit",Grant,,,,,"The Schwab Foundation is a not-for-profit organisation working to support the development of social entrepreneurship. It runs the ‘Social Entrepreneur of the Year’ competition in partnership with The World Economic Forum, which are open to apply for online. Winners of the competition gain access to social entrepreneur networks and access to World Economic Forum meetings. ",01 December 2014,Open
Social Entrepreneurs Ireland,http://socialentrepreneurs.ie/awards/impact-programme/,Impact Programme,United Kingdom,Ireland,,"For-profit, non-profit",Grant,,,,,Our Impact Programme looks to support social entrepreneurs with established and effective projects that have the potential to scale significantly – creating widespread and long term social impact. ,01 December 2014,Open
Social Entrepreneurs Ireland,http://socialentrepreneurs.ie/awards/elevator-programme/,Elevator Programme,United Kingdom,Ireland,,"For-profit, non-profit","Grant, Support",,,,,Our Elevator Programme offers support to social entrepreneurs in the earliest stages of their projects. Through this 12 month programme we help refine ideas and implement the required structures to build a sustainable and scalable organisation. ,01 December 2014,Open
Unltd,https://unltd.org.uk/doit/,Do It Awards,United Kingdom,"England, Scotland, Wales, Ireland",,Individuals,Grant,,,,,"You have an idea that will create social impact
You’re passionate about making this happen
You’d like some help getting started
Your Idea
It can deliver positive social impact
It meets a clear social need
It has potential to become financially sustainable
It offers you a learning experience ",01 December 2014,Open
