provider,name,website,investment_term,loans_rate,min_size,max_size,focus,status,country,location,organisation_type,provider_type,region
Unltd,Build It Awards,https://unltd.org.uk/buildit/,,,0,15000,"You are ready to grow to a local or regional scaleYou have strong local or regional networks
You have a commitment to delivering local or regional impact
Your Idea
Your venture is dynamic and successful and has been running for at least one year
You have track record of creating social impact
You have a strong vision for the long term development of your venture
Our support will help you reach the next level",0,England,NULL,Individuals,Grant,United Kingdom
Unltd,Fast Growth Awards,https://unltd.org.uk/fast-growth/,,,0,20000,"Fast Growth is an intensive accelerator programme providing £20K of grant funding and 12 months business support to entrepreneurs with ventures designed to solve social problems. Together with our partners, we help ambitious entrepreneurs scale their ventures nationally and internationally to achieve maximum social impact.",1,England,NULL,Individuals,Grant,United Kingdom
Ben & Jerry,Join Our Core,http://www.benjerry.co.uk/values/join-our-core,,,0,8000,"Ben & Jerry’s ‘Join Our Core’ competition is looking for businesses which are socially responsible and bringing about positive change in their communities Industry: Sustainable, socially responsible business Who can apply: Businesses offering products that are in long-term demand in their local area and that have a positive social impact as well as a clear environmental awareness Location: UK, Ireland, Denmark, Sweden & the Netherlands Prize: € 10,000 as well as six months of mentoring from Ashoka, 10 days of social business knowledge sharing and working with local farmers in Uganda with VSO and advertisement of your business on Ben & Jerry’s new flavour of ice cream",0,England,NULL,For-profit,Grant,Europe ex UK
Naturesave Trust,Naturesave Trust,http://www.naturesave.co.uk/the-naturesave-trust/,,,0,0,"As part of Naturesave’s environmental commitment, 10% of various insurance policies is paid directly into a trust fund, which is then used to benefit specific environmental, conservation and community renewable energy projects and charities throughout the UK. The Trust has funded hundreds of projects since it’s inception, ranging from installation of a wind turbine at a school to the conservation of water voles in Dorset.  The Trust prefers to provide start-up capital to small projects to get them going, rather than to contribute to the general administration costs of a larger charity or company.
For more information on specific projects we have funded to date, please visit Projects Funded by Naturesave Trust.

There are 2 funds: a) The Naturesave Trust & b) The Community Renewable Energy Fund",1,England,NULL,For-profit,Grant,United Kingdom
Global Social venture,Competition,http://gsvc.org/compete/overview/,,,0,30000,"The Global Social Venture Competition is the world’s preeminent social venture competition providing aspiring entrepreneurs with mentoring, exposure, and $50,000 in prize money to transform their business ideas into positive real-world impact. 
GSVC leads entrant teams through an experiential learning process to develop innovative, scalable solutions to the world’s greatest challenges.  Through our global network of 13 partner schools and competitions, we give teams the connections, support, and exposure needed to advance their social ventures.
 
The competition occurs over three rounds. The first two rounds are run through the GSVC global partner schools and competitions. During each round of the competition, social entrepreneurs present the social, financial, and environmental values of their business, gaining valuable feedback from and exposure to some of the greatest minds in social innovation.",0,England,NULL,For-profit,Grant,United Kingdom
School for Social Entrepreneurs,Social Start Up Programmes,https://www.the-sse.org/our-courses/,,,0,0,"Our programmes are comprehensive and generally last at least 6 days. Programmes cover topics such as starting a social enterprise, scaling, replication, and moving an existing charity towards a social enterprise model. If you’re looking for something shorter take a look at our workshops.
Current programmes are:

a) Transition to Trading
b) Start Up: Lloyds Bank Social Entrepreneurs Programme
c) Replication and Social Franchising
d) Start Up: Fellowship",1,England,NULL,For-profit,Support,United Kingdom
Local Partnerships,Technology Spin Outs  Fund,https://www.bigsocietycapital.com/what-we-do/investor/investments/technology-spin-out-fund,,,250000,1000000,This new initiative will enable public sector spin-outs access loans of between £250 thousand and £1 million for investment in technology to improve services in health and social care.,1,England,NULL,For-profit,Loans,United Kingdom
NESTA Investment Management,Impact Investment Fund,http://www.nestainvestments.org.uk/,,,0,0,"We want to see the power of innovation and technology used to solve major social problems, bringing the benefits of innovation to everyone in society. We help to do this by investing in ventures with inclusive and scalable innovations that are run by outstanding entrepreneurs. We are an experienced team of sector experts, venture capitalists, impact investors and evaluators backed by a strong, innovative institution - Nesta.Committed to supporting outstanding entrepreneurs, we bring the skills, networks and resources of our team and from across Nesta, to support social ventures to deliver on their mission. We are currently seeking innovations that tackle the major challenges faced by older people, children and communities in the UK.",1,England,NULL,For-profit,Loans,United Kingdom
PURE Leapfrog,Community Energy Financing,http://www.pureleapfrog.org/page.jsp?id=76,7,,10000,250000,"Pure Leapfrog is the leading provider of social investment to community energy projects in the UK.
We provide affordable finance to community-led projects across the UK to help fund the installation of renewable energy technologies and energy efficiency measures. Today Pure Leapfrog manages the Community Energy Fund and, through Leapfrog Finance Ltd, we provide Bridge Finance to community energy groups.

As impact investors, we seek to maximise the social and environmental benefit achieved by the projects we fund. Our ambition, measured in terms of the social and environmental benefits generated by the projects we finance, is to develop the sectors most successful financial platform.

Community Energy Fund

Our Community Energy Fund draws on a credit facility from Big Society Capital, whilst funders and sponsors contribute to it through donations. The fund provides small to medium loans to UK community renewable energy and energy efficiency projects. So far we have provided 22 loans to projects totalling £1,174,028.

Bridge Finance

Our bridge fund is a £15 million revolving loan facility from BSC to support large scale community energy projects.

The facility is managed by Leapfrog Finance Ltd and is able to provide equity and construction finance. The fund is designed to enable community groups to acquire and/or construct renewable energy projects under the government’s Shared ownership protocol.",1,England,NULL,Non-profit,Loans,United Kingdom
Ananda Ventures,Social Venture Fund II,http://www.socialventurefund.com/en/#investment-criteria,,,300000,1500000,"The Social Venture Fund invests in social enterprises, which have innovative and entrepreneurial driven solutions for urgent social and environmental challenges. The Social Venture Fund’s goal: To return the invested capital for future investments. This way, the power of the capital and not the capital itself is used for a positive impact.  We are always looking for exceptional social entrepreneurs from all around the world. Ventures, which are supported by the Social Venture Fund, must have proven success on the market (proof-of-concept) and also be willing and able to expand. The guidelines as to how we evaluate a venture can be found under the section “INVESTMENT CRITERIA”",1,England,NULL,For-profit,Loans,United Kingdom
Co-operative & Community Finance,Loan Fund,http://www.coopfinance.coop/borrow/,,,10000,150000,"We lend to organisations that are owned and democratically controlled by their members, who are usually either employees, customers or members of a community.Loans from £10,000 to £75,000 are readily available, and we are able to lend up to £150,000 using other funds. We do not require personal guarantees.

We manage a range of loan funds throughout the UK, and currently have around £4m available to lend.  Our staff will be glad to advise on the availability of specific funds and the most suitable forms of finance for your business.",1,England,NULL,For-profit,Loans,United Kingdom
Ignite,Energy Impact Investment Fund,http://ignitesocialenterprise.com/,,,50000,2000000,"We invest people and money into emerging and mature organisations that have a clear vision of how they benefit society. By focusing on energy, we’re driving innovation at every point of the energy chain – from sourcing and generation through to supply, service and saving energy. And by investing in social enterprises we’re making a positive impact on employment, income, housing and local communities.
As well as providing capital, we work to understand the specific needs of each of our investments and help them grow through mentorship, networking and the skilled support of Centrica employees.

Thanks to our backing from Centrica, we’re providing funding of £10 million over the next ten years, and will make investments in the UK of between £50k and £2m. To be eligible for funding and support your business must:

Be in the energy or energy-related sector
Have the potential to make a real social impact in the UK
Be seeking a minimum of £50k of Loans or equity investment
Fulfill a clear social need and demand
Have clear outputs and goals",1,England,NULL,For-profit,Loans,United Kingdom
RBS,Microfinance Fund,http://www.inspiringenterprise.rbs.com/inspiring-social/microfinance-fund,,,30000,750000,"RBS has a strong heritage supporting community-based businesses. Through RBS Social & Community Capital (S&CC), we are building on that support, helping potential and existing social entrepreneurs who are unable to access sufficient finance through mainstream channels.
We will look to support viable charities, social enterprises, community interest companies and co-operatives who are sustainable, deliver high levels of social value and are investment ready.

Through our independent charity RBS Social & Community Capital is offering Loan Funding of between £30,000 and £750,000 depending on the type of organisation, to enable Social Enterprises to gain the finance they need to expand their market.

There is no deadline to apply, and applications for loan funding are open all year round.",0,England,NULL,For-profit,Loans,United Kingdom
Ulster Community,Investment Trust,http://www.ucitltd.com/,,,0,0,"Ulster Community Investment Trust Ltd (UCIT) was established in 1995 in response to decreasing grant support from government and the difficulties experienced by community organisations in accessing commercial loan facilities. The organisation now stands as the key provider of social finance, free advice, business support and mentoring to the social economy sector in Northern Ireland and the Republic of Ireland. Ulster Community Investment Trust (UCIT) is a Charity which provides loans exclusively to other third sector organisations such as community groups, charities, sports clubs and social enterprises in Northern Ireland. Since 2001 we’ve committed in excess of £50 million to over 360 organisations in Northern Ireland and the Republic of Ireland.",1,Ireland,NULL,For-profit,Loans,United Kingdom
Bethnal Green Ventures,Social Incubator,http://bethnalgreenventures.com/apply,,,0,15000,"Bethnal Green Ventures is an accelerator programme for people who want to change the world using technology.We invest in and support great teams with new ideas to help build solutions to social and environmental problems through an intensive three-month programme. Bethnal Green Ventures seeks out people with great ideas: they might be software developers, designers or people with personal experience of something they want to change – from teachers and doctors, to patients and carers. We look for very early-stage ideas – not business plans – and we’re more interested in potential than experience.
We select teams of between two and four people to be part of the Bethnal Green Ventures programme. We invest £15,000 in each team in exchange for 6% equity. We provide three month programme of support and advice to help build, test and launch each startup.",1,England,London,For-profit,Equity,United Kingdom
Responsible Finance,Start up loans,http://responsiblefinance.org.uk/funding-innovation/start-up-loans/,5,6%,0,25000,Provising start up loans for businesses across the UK.  Need to apply to local partner.,1,England,NULL,For-profit,Loans,United Kingdom
Responsible Finance,Coalfield Investment Coalition,http://responsiblefinance.org.uk/cic/,,,0,0,"We are partnering with the Coalfields Regeneration Trust (CRT) to deliver a new start up loan fund dedicated to coalfield communities. The fund has been created by bringing together funding from CRT and the Start Up Loans Company.
The fund enables people living in former mining communities to access loans and support to start up their own business. The package of support and mentoring and terms mirror those of Start Up Loans.

Coalfield Start Ups will be made available across the six English coalfield regions. These loans are available from a number of our members:

Business Enterprise Fund (Yorkshire and the North East)
Business Finance Solutions (North West)
Coventry and Warwickshire Reinvestment Trust (West Midlands)
Finance For Enterprise  (Yorkshire)
Let’s Do Business Finance (South East)
MCF Loans (East and West Midlands)
Merseyside Special Investment Fund (North West)
Northern Pine Trees (North East)",1,England,Business Enterprise Fund (Yorkshire and the North East),For-profit,Loans,United Kingdom
Business Enterprise Fund,Start Up Finance,http://www.befund.org/,3,6%,250,0,Provising start up loan finance for businesses in Yorkshire and the North East,1,England,Calderdale,For-profit,Loans,United Kingdom
Coventry & Warwickshire Reinvestment Trust,Start up loans,http://www.cwrt.uk.com/,3,6%,1000,75000,"CWRT is a not-for-profit organisation committed to supporting individuals and businesses in Coventry and Warwickshire to start, grow and develop by providing business loans to those that have been unable to raise sufficient, if any, funding from their bank.
Whether you are looking for start up funding, additional working capital, support towards capital expenditure, obtaining new premises or looking to invest in people, we can lend between £1,000 and £75,000 to individuals and businesses who need an alternative source of finance to start up or grow a business.

By offering loans and business support to individuals and existing businesses in Coventry and Warwickshire, CWRT hope to fill the gaps in mainstream lending, addressing market failures and benefit the local community – this might be in terms of jobs created, local services provided or by helping provide finance for a charity or community group.",1,England,Coventry,For-profit,Loans,United Kingdom
DSL Business Finance,SME & Start up loans,http://www.dsl-businessfinance.co.uk/content/loans_for_businesses/,,,0,50000,"In these tough economic times small firms are finding it much harder to obtain finance for their business. Many of them are turning away from mainstream lenders, towards DSL Business Finance for loans which will help them set-up, expand and create jobs.
We offer:-

- Business Loans to enterprises located in Scotland
- Loans up to £50,000
- Knowledge that any profit we make, will not be paid out in bonuses to shareholders
- We reinvest any profit back into our loan funding to help revive local communities
- Aftercare support to all client for the duration of the loan",1,Scotland,Scotland,For-profit,Loans,United Kingdom
Enterprise Northern Ireland,Start up loans,https://www.enterpriseni.com/what-we-do/loan-funding,5,6%,0,10000,"The Northern Ireland Small Business Loan Fund (www.nisblf.com) is part of Invest NI's Access to Finance Strategy. The fund provides unsecured loans to social enterprises and SMEs in the micro enterprise sector in the start up and growth phases.
The fund helps to bridge gaps where other funding options have been exhausted. Loans to recipients are in the £1k - £50k range. ENI works alongside Ulster Community Investment Trust (UCIT) as fund managers. During 2013 loans to the value of £0.5m were processed for 21 businesses.

- See more at: https://www.enterpriseni.com/what-we-do/loan-funding#sthash.fjmKClK3.dpuf",0,Ireland,Northern Ireland,For-profit,Loans,United Kingdom
Finance for Enterprise,Start up loans,http://finance-for-enterprise.co.uk/,5,6%,0,25000,"Finance For Enterprise is the local delivery partner for Start Up Loans, a Government backed national initiative aimed at ambitious people who want to start up their own businesses or have recently started to trade and are still in the start-up phase (up to 24 months). Applicants don’t just get financial help – they also get business support.",1,England,South Yorkshire,For-profit,Loans,United Kingdom
Foundation East,Start up loans,http://www.foundationeast.org/,,6-19%,0,100000,"If you have a viable business idea but need funding and some advice to make your entrepreneurial dream come true, get more equipment to grow your company, need some working capital to help with cash flow or to take on an apprentice to expand your services – we may be able to help.
Our business loan customers are sole traders, limited companies, social enterprises and voluntary organisations. The legal form of your business is not a deciding factor in our process of reviewing applications.By contrast, the qualities and skills of person behind the business is crucial.

Unfortunately, there are many people with good business ideas or established businesses who are unable to access finance from mainstream banks. The reasons why may include a lack of a trading history, a lack of assets to use as security, an insufficiently strong credit rating or even the business sector in which they trade.",1,England,East England,For-profit,Loans,United Kingdom
HBV Enterprise,Start up Business Support,http://www.hbv.org.uk/,,,0,,"Looking for loan finance or support to get started or grow? Based in Hackney, Camden, City of London, Haringey, Islington, Newham, Tower Hamlets or Waltham Forest?
Start Up Loans are a UK-wide, government backed scheme which offers a repayable loan to individuals who have a viable business idea. The scheme funds businesses in every sector. As well as financial backing all loan recipients are given access to a mentor, free training events and exclusive business offers.

HBV Enterprise is part of a network of official delivery partners who administer the scheme. We guide you through the application process, including creating a business plan and cash flow forecast. If you receive a loan we will then support you through your journey.",0,England,Hackney,For-profit,Loans,United Kingdom
Impetus,Start up loans,http://www.impetus-marches.co.uk/,3,6%,500,25000,"If you are a West Midland entrepreneur and keen to start-up a new business or expand a young one – here’s some good news.
If you have a great business idea and require a loan (or you have a business under two year old requiring financial support) then Impetus can help.",1,England,Shropshire,For-profit,Loans,United Kingdom
Impetus,Business Loans,http://www.impetus-marches.co.uk/our-funds/,,14%,0,150000,"Impetus has general capital funds for Gloucestershire, Herefordshire, Worcestershire, Shropshire, Telford & Wrekin and the wider West Midlands area.  In 2014/15 we have in the region of £4 million to lend.
We have teamed up with our Local Authorities and other government and non-government partners to create the following additional sources of finance:

a) Regional growth Fund: Loans of up to £150,000 are now available to businesses in the West Midlands and Gloucestershire.
b) Worcestershire Small Business Loan Fund: With the support of Worcestershire County Council and the Local Economic Partnership the Worcestershire Small Business Loan Fund has been set up and delivers up to £2million of loans each year.
c) Worcester City Business Loan Fund: Worcester City Council and Impetus have created a £100,000 fund to support businesses who operate and create or support jobs in Worcester City.
d) Shropshire Small Business Loan Fund: Shropshire Council and Impetus have teamed up to create £2.2million loan fund for 2012 to 2015
e) Telford & Wrekin Small Business Loan Fund: Impetus teamed up with Telford & Wrekin Council to created a £400,000 pilot loan fund for 2012/13.  This was in additional to our current lending activity to date in the Telford & Wrekin area. Although this fund is now closed we are still making loans in the area.",1,England,Shropshire,For-profit,Loans,United Kingdom
Lancashire Community Finance,Start up loans,http://www.lancashirecommunityfinance.co.uk/,3,6%,250,0,Provising start up loans for businesses in Lancashire,1,England,Lancashire,For-profit,Loans,United Kingdom
MCF Loans,Start up loans,http://www.mcfloans.co.uk/,3,6%,2000,25000,"As the first Community Development Finance Institution (CDFI) to be established in the East Midlands, MCF Loans was set up to make loans to financially excluded individuals and businesses that could not access affordable credit from mainstream banks and building societies.
A key aim was to reduce the burden of debt and high interest charges faced by low income households and provide an alternative source of credit to the cheque cashers, high cost door-step providers and illegal money lenders.",1,England,East Midlands,For-profit,Loans,United Kingdom
Merseyside Special Investment Fund,Start up loans,http://www.msif.co.uk/,,,25000,100000,"MSIF provides a wide range of funding to businesses across the North West, predominantly in the Liverpool City Region and surrounding areas. Funding is available from as little as £250 right up to £2million +for a variety of business needs including start-ups, expansions, acquisitions and management buy outs/buy ins.
Established in 1994, we are a local, independent organisation which is not bound by national policy - all lending decisions are made here in Liverpool. Our experience and knowledge of the unique characteristics of the region means we understand the business community here and don’t conform to a “one size fits all” approach.

MSIF is a not-for-profit organisation; all returns on investment go back into the fund to be re-invested in local businesses.

We work closely with banks and other lenders. Sometimes this is because their customers don’t fit their criteria and they are referred to us to see if we can help, or to put together joint funding packages where one or both parties can’t commit the full amount. We also work with corporate finance advisors, accountants and other professionals to put together investments for their clients.",1,England,Greater Merseyside and its boundary – Liverpool,For-profit,Loans,United Kingdom
Northern Pine Trees,Start up loans,http://www.pinetree-enables.co.uk/,,,0,25000,"Pinetree delivers specialist business support and finance to people across the North East of England. We work with people with complex needs, helping them to start-up and grow their own businesses. We also provide access to well managed office space in our Pinetree Centre. Whether you are a start-up or existing business we can assist you. The main criteria is that you have been turned down by main stream financial institutions and have been assigned one of our business advisers.
We can offer the following:-

- Start-up Loans, through SULC loan fund with loans up to £25,000*
- CDFA loans for existing businesses wishing to expand, loan worth up to £25,000.",0,England,North East,For-profit,Loans,United Kingdom
Robert Owen Community Banking,Start up & Development Loans,http://rocbf.co.uk/,5,6%,500,25000,"Do you have a good idea for a business, but need some help to get it going? Or have you already launched your business but need some additional finance to help it grow?
Robert Owen Community Banking can help with both:

- start up loans for new businesses
- business development loans to help existing businesses expand and develop (up to £50,000 at higher interest rates ~ 14.5%)

We know that small and medium-sized businesses are the backbone of the local economy in Wales, and in the current climate, we know that finance can be hard to find. We specialise in local finance for businesses across Wales - that's finance raised locally, and invested back into the local economy.",1,Wales,Wales,For-profit,Loans,United Kingdom
Future Business,Business Support,http://futurebusinesscentre.co.uk/support,,,0,0,"Future Business is a charitable organisation and social enterprise based in Cambridge providing business support across the East of England.
Future Business aims to help businesses to have a better future. But more than this, we want to help businesses to make a better future for everyone. In our view every business – whether run for commercial profit or for a social or environmental outcome – can achieve a greater social impact.

We specialise in helping those with a social or environmental mission – our enterprise support agency brings together all the essentials every organisation needs – business advice, coaching, impact measurement and affordable workspace.

We can help you whoever you are and whatever your organisation is – whether you’re an entrepreneur, a social enterprise, a start-up business, a charity or a voluntary organisation – we’d love to hear from you.

Future Business is an initiative of Allia Ltd.",1,England,East of England,For-profit,Support,United Kingdom
Social Incubator North,Incubator Fund,http://socialincubatornorth.org.uk/the-fund/,,0%,3500,25000,"The investment from Social Incubator North comprises of two different loans, totalling £25,000 available on the following terms:
1) £3,500 development loan investment is provided to all social businesses accepted on to the interest free programme. This money can be used to support any business development activity or the costs of participation for the key entrepreneur. No repayments are expected for 12 months, with an expectation that the loan will be repaid within the 24 months following graduation or exit. A review will take place with the Client and ‘Supporter’ two weeks before repayments begin to ensure everything is in place to facilitate this. There is an enrolment fee of £70 but no interest is charged on the loan.

2) Up to £21,500 is available from the programme to social businesses progressing through stage three. This loan investment is intended to help develop and grow the social business. Maximum terms for repayment are three years and dependent on need, participants may be offered up to a 3 months repayment holiday. Where participating businesses require more than £21,500 at this point, the ‘Supporter’ will work with other funds (including Key Fund) to broker further investment. There is a 2% arrangement fee (typical APR for loan is 1.3%).

Who can apply?
Existing or new social entrepreneurs across the Northern half of England- from Derby to the Borders. Anyone with a competitive and brilliant idea – it doesn’t have to be perfectly formed to start with. Your idea however has to be NEW – although proposals are accepted from existing organisations seeking a new strand to their business.",0,England,North Engalnd,For-profit,Loans,United Kingdom
Telefonica,Wayra Accelerator,https://wayra.co.uk/,,,0,40000,"Wayra UnLtd is a partnership between UnLtd and Wayra, Telefonica‟s global technology incubator. Over two years they will identify and support three cohorts of 10 up and coming social entrepreneurs who use digital technologies to deal with environmental, health and education-based issues, and accelerate their entry to market. Each cohort will receive a £40,000 convertible note and join the purpose-built Wayra UnLtd Academy.",1,England,NULL,For-profit,Grant,United Kingdom
Queen Elizabeth Scholarship Trust,Scholarships for Crafts People & Artisan / Food & Farming,http://www.qest.org.uk/,,,0,0,"Applications for QEST Scholarships will open in December 2015 so please keep an eye on the website. Interviews for these applications will take place in Spring 2016.
QEST Apprenticeship applications will open on the website in Summer 2016 with interviews taking place in Autumn 2016.",1,England,NULL,For-profit,Grant,United Kingdom
Trust For London,Social Funds,http://www.trustforlondon.org.uk/,,,0,100000,"We have five funding priority areas for 2013-2017. In developing our priorities, we have reviewed what others are doing, consulted people working in this field and considered where we can have the greatest impact.
Employment
Paid work is critical to tackling poverty. Whilst the clearest benefits are financial, work is also important in improving people’s confidence, self-worth, health and increasing independence. However, work is not always a solution to addressing poverty. Many jobs are low-paid, insecure, unrewarding and fail to act as a stepping stone into a future career. We are keen to address these issues.

Advice
Access to justice is unequal for the poorest and most vulnerable. Relevant and timely advice and legal representation is vital in upholding rights and ensuring fair treatment. We will fund direct advice work and representation in employment and immigration, particularly work which has the potential to have wider strategic impact and which offers innovative approaches.

Social Justice
We believe it is important to undertake campaigning work to influence government, other policy-makers, the media and the general public, if we are to tackle the root causes of poverty and inequality. This includes work to influence public attitudes, establish an evidence-base, as well as enhancing skills in campaigning and lobbying to bring about improvements.

Violence
Whilst people from all social classes and income groups can be affected by violence, our focus is on supporting those with limited financial resources. Our focus is on funding work that highlights good practice, provides specialist support as well as prevention work.

Small groups
We support small community groups as we believe they are often well placed to identify needs and potential solutions. We fund groups that have an emphasis on user involvement and self-help; which empower people to advocate for themselves and which build stronger communities. We define small groups as those with an annual income of under £75,000.",1,England,London,NULL,Grant,United Kingdom
Chivas,The Venture,http://www.chivas.com/en-gb/the-venture,,,0,0,"A million dollar fund. A mission to make a positive global change. An incredible opportunity for start ups that do good. We're looking for existing start-ups or start up ideas that can demonstrate how they are using business to turn a profit and create a positive impact.What we mean by a positive impact is that the business or business idea must in some way contribute to the environment, operate ethically or create social value for others.
The person filling out the application form and representing the business or idea must be at least 25 years of age. They can fill out the form either on behalf of an established business (if they have the power to bind the business) or as an individual with a business idea.

Win A SHARE OF THE $1MILLION FUND",1,England,NULL,For-profit,Grant,United Kingdom
Big Lottery,Grow Wild,https://www.growwilduk.com/get-funding,,,1000,4000,"Funding for community growing. Grow Wild is awarding grants of £1,000 to £4,000 to community groups that want to bring people together to transform a communal space by sowing and growing native plants.",0,England,NULL,NULL,Grant,United Kingdom
Big Lottery,People & Places,https://www.biglotteryfund.org.uk/global-content/programmes/wales/people-and-places,,,5001,1000000,"People and Places will fund projects that enable people to work together for strong communities, social justice and better rural and urban environments in Wales. We want to empower local people to make their communities better places to live.",1,England,NULL,Non-profit,Grant,United Kingdom
Big Lottery,Accelerating Ideas: An Ageing Society,https://www.biglotteryfund.org.uk/global-content/programmes/uk-wide/uk-accelerating-ideas-pilot,,,0,0,"The Accelerating Ideas pilot is testing a completely new funding approach. It aims to get great ideas and practice more widely shared and adopted across the UK. Our focus and approach reflects the many conversations we’ve had with customers, stakeholders and practitioners over the past year.
The pilot is initially calling on ideas and projects focusing on the opportunities and challenges presented by an ageing population in the UK. More information on the ageing theme can be found in the ‘Accelerating Ideas: An Ageing Society’ supplementary guidance document.

The pilot is intended to be open until April 2016. However one of the things we are testing is the demand and appetite for the programme so if we have a significantly higher level of interest than we expect, we may need to suspend applications to the pilot at short notice.

You can visit the Accelerating Ideas group on our new digital CommunityGoes to different website to find out more about the types of project ideas coming through and the proposals that we are considering.",0,England,NULL,Non-profit,Grant,United Kingdom
ENTRUST,Landfill Communities Fund,http://www.entrust.org.uk/landfill-community-fund,,,0,0,"The Landfill Communities Fund (LCF) is an innovative tax credit scheme enabling operators of landfill sites to contribute money to organisations enrolled with ENTRUST as Environmental Bodies (EBs). EBs carry out projects that comply with the objectives (Objects) set out in The Landfill Tax Regulations 1996 (Regulations). The links to the right of this page give more information about these Objects.
The Government introduced tax on landfill waste in 1996 to reduce the amount of land-filled waste and to promote more environmentally sustainable methods of waste management. The LCF is also a way for Landfill Operators (LOs) and EBs to work in partnership on projects that create significant environmental benefits, jobs and which improve the lives of communities living near landfill sites.  You might be able to find Landfill Operators (LOs) who will give landfill tax money directly to your organisation. While many LOs take part in the Landfill Communities Fund (LCF), not all do. Not all LOs are potential sources of funding for your work. The only way to find out is to contact them and ask.

A list of all LOs can be obtained from HM Revenue & Customs (HMRC) website. LOs have to be registered with HMRC to take part in the scheme. If you plan to receive money directly from LOs, you will need to enrol your organisation as an Environmental Body (EB) with us.

In England or Wales you can find a map of landfill sites in your area by looking at the Environment Agency website.

In Scotland, you may have to request details from the Scottish Environmental Protection Agency (SEPA). The LCF scheme in Scotland closed on 31 March 2015, further information can be found on our Scotland page.

Further information is also available from the Northern Ireland Environment Agency for Landfill sites in Northern Ireland.",1,England,NULL,Non-profit,Grant,United Kingdom
Lush,Lush Charity Pot,https://www.lush.co.uk/article/charity-pot-funding-guidelines,,,0,0,"The majority of our funding is allocated to small, grassroots groups around the world working in the following areas: environment; animal protection; and human rights. They are often best placed to make a real difference with limited resources and often struggle to find funding. Almost all the groups we fund have annual incomes of less than £250,000 and most are substantially smaller than this and run entirely or predominantly by volunteers. If your organisation is in the fortunate position of having many supporters and corporate sponsors or is able to secure mainstream funding such as government grants, you're probably not one for us.",1,England,NULL,Non-profit,Grant,United Kingdom
Business In The Community,BITarc,http://www.bitcarc.org.uk/applytojoinarc,,,0,0,"We combine expert advice from our business partners and a carefully selected partner network to deliver the exact support you need.
We will work with you to develop new business opportunities with business and government.

Our support will also help you to win investment and access new finance through our finance partners.To join the arc programme, a social enterprise must:      be a business with a social or environmental purpose at its heart and have this social and/or environmental mission written into its constitutional documents     be financially self-sustaining, or at least have solid plans for achieving financial sustainability in the future (i.e. not reliant on grants or donations) and     have the potential to grow and create jobs for East and/or West London borough residents.",1,England,London,NULL,Support,United Kingdom
Big Lottery,Building Better Opportunities,https://www.biglotteryfund.org.uk/global-content/programmes/england/building-better-opportunities,,,330000,10600000,"Big Lottery Fund is matching funds from the European Social Fund (ESF) 2014-2020 to provide joint investment in local projects tackling the root causes of poverty, promoting social inclusion and driving local jobs and growth.
The funding will be delivered in 38 Local Enterprise Partnership (LEP) areas according to local priorities, which have been set by the LEPs, and will support projects ranging from improving employability for the most disadvantaged, helping those with multiple and complex needs, to improving financial literacy.

LEPs and the LEP area European Structural Investment Fund (ESIF) Sub Committees have made decisions about how much of their ESF allocation to devote to this strand of work, meaning that the amount of funding varies widely across different areas.

The second round of funding opportunities is now open. There are 61 new opportunities in 18 of the 38 LEP areas, totalling £132.6 million investment. A small number of further funding opportunities will be available in early 2016.

The first round of funding opportunities opened in June 2015 and closed to stage one applications in August 2015. We will not accept any new stage one applications for these projects.

Black Country, Buckinghamshire, Cheshire and Warrington, Coast to Capital, Cornwall and Isles of Scilly, Coventry and Warwickshire, Cumbria, Derby,, Derbyshire, Nottingham & Nottinghamshire, Dorset, Enterprise M3, Gloucestershire, Greater Cambridge & Greater Peterborough, Greater Lincolnshire, Greater Manchester, Heart of South West, Hertfordshire, Humber, Lancashire, Leeds City Region, Leicester and Leicestershire, Liverpool City Region, London, New Anglia, North East, Northamptonshire, Oxfordshire, Sheffield City Region, Solent, South East, South East Midlands, Stoke-on-Trent and Staffordshire, Swindon and Wiltshire, Tees Valley, Thames Valley Berkshire, The Marches, West of England, Worcestershire, York, North Yorkshire & East Riding",0,England,Black Country,NULL,Grant,United Kingdom
Polden-Puckham Charitable Foundation,"Peace, Sustainable Security & Environment",http://www.polden-puckham.org.uk/,,,5000,15000,"The Polden-Puckham Charitable Foundation (PPCF) is a grant giving trust with Quaker family roots in the United Kingdom.  We aim to contribute to the development of a just society based on a commitment to nonviolence and environmental sustainability.  In order to do this, in the limited areas described below we support projects that seek to influence values and attitudes, promote equity and social justice, and develop radical alternatives to current economic and social structures. We support the development of ways of resolving violent conflicts peacefully, and of addressing their underlying causes & we support work that addresses the pressures and conditions that risk global environmental breakdown.",1,England,NULL,Non-profit,Grant,United Kingdom
Lloyds Bank Foundation,"Invest, Enable & Enhance",http://www.lloydsbankfoundation.org.uk/our-programmes/,,,10000,25000,"Lloyds works with charities to provide funding. They have the following funds: a) Invest - which is for the long-term funding for the core costs for those working with disadvantaged people, b) Enable - providing grants for specific organisational development to strengthen effectiveness,, c) Enhance - support that is additional to Invest & Enhance",1,England,NULL,Non-profit,Grant,United Kingdom
